CULTURE,ID,SHORT_LABEL,MOBILE_LABEL,LAYER_NAME,HIDDEN,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
ru-RU,TYPE.COUNTER_METER.ROLLOVER_UOM,[ru-RU] Rollover Uom,[ru-RU] Rollover Uom,STD,FALSE,NULL,27:52.1,e1488015045b4d9aaeb80750ca1b9e8b,NULL,05e69db8a5e547539dee5854303791dd,NULL,NULL
en-US,TYPE.COUNTER_METER.ROLLOVER_UOM,Rollover Uom,Rollover Uom,STD,FALSE,NULL,27:52.1,acf63f95a5ce4b37a0471e697258f84c,NULL,81c84041b0854e05aa5f2c733c639b9f,NULL,NULL
en-US,TYPE.CP_READ,Cathodic Protection Readings,Cathodic Protection Readings,STD,FALSE,NULL,28:53.6,208fcfe9d87e457ca09b4cbcf830ea0b,NULL,19ae0d4cb3c943fab90c916a68fb9ca0,NULL,NULL
ru-RU,TYPE.CP_READ,Данные катодной защиты ,[ru-RU] Cathodic Protection Readings,STD,FALSE,SYSTEM,56:00.2,345eccd57bfc44e5a1ce0a8c5724ce7c,NULL,09432b27b2f74bccb20db5d6f14b2abf,NULL,NULL
ru-RU,TYPE.CP_READ.ACTIVE,[ru-RU] Impressed Current Active?,[ru-RU] Impressed Current Active?,STD,FALSE,NULL,28:53.6,69bdcc80e5ec45d3b217c1b1e22c54a5,NULL,72c9540f0b204724ad30dfe475a271e0,NULL,NULL
en-US,TYPE.CP_READ.ACTIVE,Impressed Current Active?,Impressed Current Active?,STD,FALSE,NULL,28:53.6,640c08402fc94494a1b34831e28d3f79,NULL,96d182d8ec124ab2bc9e91c03757e1d4,NULL,NULL
en-US,TYPE.CP_READ.CREATE_SOURCE,Create Source,NULL,STD,FALSE,NULL,28:53.6,cd68baa72338413bbc37cd9d494aa07c,NULL,0f2e7ce3854545ed9f21118fec83d84c,NULL,NULL
ru-RU,TYPE.CP_READ.CREATE_SOURCE,Create Source,NULL,STD,FALSE,NULL,28:53.6,8ab736847aa749bf9dae18f7ae4973d4,NULL,91ffb8d3e5ec4201bed1068d5e7c4447,NULL,NULL
ru-RU,TYPE.CP_READ.CURRENT,[ru-RU] Cathodic Protection Current,[ru-RU] Cathodic Protection Current,STD,FALSE,NULL,28:53.6,c74ac1caae8649c6b252c6e5607dc4ec,NULL,09cc804b68044d95a6d2f86900a0ae82,NULL,NULL
en-US,TYPE.CP_READ.CURRENT,Cathodic Protection Current,Cathodic Protection Current,STD,FALSE,NULL,28:53.6,023f6e49e6c948f18d8494af15d7f0e7,NULL,bd15480995ca4b539da9313f32c8d3f7,NULL,NULL
